Archetype,Weapon,Energy,Perk,Effect,RoF,Crit_dmg,Body_dmg,Crit_mult,"Optimal
 TtK(s)",Opt_Shots,Crit_Percent,Opt_Crits,Opt_Body,Bursts,Body_TtK,Body_Kill,Bursts,Impact,Range,Stability,Handling,Reload_Speed,Aim_Assist,Recoil_Direction,Mag_Size,Type,Ammo
Precision,IKELOS_HC_V1.0.1 (Gunsmith),Void,,,180,57,38,1.49,1,4,75%,3,1,,1.67,6,,78,39,60,40,40,75,91,12,Handcannon,Primary
Precision,Nature of the Beast (World Engrams),Arc,,,180,57,38,1.49,1,4,75%,3,1,,1.67,6,,78,40,65,42,32,76,80,13,Handcannon,Primary
Special Ammo,Eriana's Vow,Solar,First Glance Crit,,90,164,78,2.1,0.67,2,50%,1,1,,1.33,3,,100,100,37,31,32,80,100,6,Handcannon,Special
Special Ammo,Forerunner (Magnum Opus Quest),Kinetic,ADS,,200,69,35,1.97,0.6,3,100%,3,0,,1.5,6,,35,100,88,68,96,60,96,15,Handcannon,Special
Adaptive,Lumina,Kinetic,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,53,55,78,65,88,100,12,Handcannon,Primary
Lightweight,Sunshot,Solar,,,150,65,44,1.48,0.8,3,100%,3,0,,1.6,5,,78,47,50,92,75,60,100,12,Handcannon,Primary
Adaptive,Hawkmoon,Kinetic,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,57,67,74,63,93,96,8,Handcannon,Primary
Adaptive,Thorn**,Kinetic,DoT,,139,74,51,1.45,0.87,3,67%,2,1,,1.3,4,,84,54,60,86,46,85,100,11,Handcannon,Primary
Precision,Malfeasance,Kinetic,,,180,57,38,1.5,1,4,75%,3,1,,1.33,5,,78,50,96,32,64,50,98,14,Handcannon,Primary
Adaptive,Ace of Spades,Kinetic,,,139,70,47,1.49,0.87,3,100%,3,0,,1.73,5,,84,87,55,55,48,70,100,13,Handcannon,Primary
Aggressive,Sturm***,Kinetic,,,120,91,50,1.82,1,3,67%,2,1,,1.5,4,,92,64,37,46,55,50,80,9,Handcannon,Primary
Full Auto,The Last Word,Kinetic,Fan Fire,,225,68,38,1.8,0.53,3,100%,3,0,,1.33,6,,78,42,46,46,82,40,100,8,Handcannon,Primary
Burst,Crimson****,Kinetic,,,386,31,19,1.61,0.87,7,86%,6,1,2.33,1.43,11,3.67,78,75,97,42,64,75,55,24,Handcannon,Primary
